Unnamed: 0,Business,Finance,Operations Management,Medicine,Healthcare,Public Health,Creative Arts,Creative Writing,Counseling,Engineering,Computer Science,Data Science,Mathematics,Marketing,Photography,Environmental Science,Sustainability,Gardening,Sports Science,Kinesiology,Athletic Coaching,Journalism,Editing,Storytelling,Law
Chemistry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cloud Computing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coaching,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,0.1651628274644736,1.013210543182234e-05,1.013210543182234e-05,0.2008446131376768,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,0.9774380759249113,1,0.990504199,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05,1.013210543182234e-05
Collaboration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Communication,0.9563687338258542,1,0.8617776317636534,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,0.21468558649889175,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,1.0036912765447662e-05,0.24605078585391915,1.0036912765447662e-05,1.0036912765447662e-05
Computer Science,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,0.04934123,1.0002028346990338e-05,1.0002028346990338e-05,1,0.9984900680984214,0.9961606755104456,0.027816806,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,0.011471454,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05,1.0002028346990338e-05
Conflict Resolution,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Content Writing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cooking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Counseling,0.2341764816094732,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,0.030766601229942677,0.9941397544154872,1,0.030550868078443462,0.015658972301529857,1.0115326916262411e-05,0.010726593920219515,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05,0.011144699044258148,1.0115326916262411e-05,0.24569357358451926,1.0115326916262411e-05,1.0115326916262411e-05,1.0115326916262411e-05
Creative Arts,0.014404966195956402,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,0.9971587866798892,1,0.9975256626023191,0.02685733,1.0165022978104759e-05,1.0165022978104759e-05,0.017839202451741854,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05,1.0165022978104759e-05
Creative Studio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Creative Thinking,0.018391510474871097,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,0.9933740615536601,0.9943556700200799,1,0.029028059331324657,1.0112077865824703e-05,1.0112077865824703e-05,0.023871418417904695,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05,0.22110064153060519,1.0112077865824703e-05,1.0112077865824703e-05,1.0112077865824703e-05
Creative Writing,0.2027882849789732,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,0.9895110266662449,1,0.995245764,0.021143847,1.002382259905192e-05,1.002382259905192e-05,0.010048346,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05,0.23523981044905065,1.002382259905192e-05,1.002382259905192e-05,1.002382259905192e-05
Creativity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Critical Thinking,0.046007977,1.0016806028096371e-05,1.0016806028096371e-05,0.027964599,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1.0016806028096371e-05,1,0.9942692121464599,0.9985390044220314,1.0016806028096371e-05
Cybersecurity,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cycling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dance,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Data Analysis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Data Science,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,0.022280465,1.0036326664902376e-05,1.0036326664902376e-05,0.996570124,0.9960081268269314,1,0.035181963,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,0.099898205,1.0036326664902376e-05,0.021604475767141723,0.036586353,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05,1.0036326664902376e-05
Database Management,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Decision Making,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Design,0.04713684,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,0.9898268699999712,0.9941384061550064,1,0.013987977796281775,1.0012577890684592e-05,1.0012577890684592e-05,0.014332578251885159,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05,0.2335112639469529,1.0012577890684592e-05,1.0012577890684592e-05,1.0012577890684592e-05
Desk Job,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Digital Marketing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Drawing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Economics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Editing,0.012755563857843363,1.0000989747295276e-05,1.0000989747295276e-05,0.014710183755676957,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,1.0000989747295276e-05,0.98977096,1,0.9935714153456855,1.0000989747295276e-05
Education,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Empathy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Engineering,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Engineering Skills,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,0.019903765404885487,1.0015748218026898e-05,1.0015748218026898e-05,0.9933624080494111,0.9971338981175055,1,0.011327183872326852,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,0.054740871,1.0015748218026898e-05,0.013200425565671987,0.047027808937979546,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05,1.0015748218026898e-05
English,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Entrepreneurship,0.9688731791572249,0.9943769475261877,1,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,0.2749215654834805,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,1.08143354755767e-05,0.24879751171447187,1.08143354755767e-05,1.08143354755767e-05
Environmental Awareness,0.11520966256179421,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,0.15278040987652206,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1,0.9977061604565741,0.9907483461719263,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05,1.0344193045602056e-05
Environmental Conservation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Environmental Science,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ethics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fashion,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fieldwork,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Film & Media,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Finance Knowledge,0.04666373,1,0.012085057551309775,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,0.047138303243727836,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,0.9965651561261223,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05,1.0038354720701644e-05
Fishing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fitness & Wellness,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,0.14921903583169496,1.0078748857377578e-05,1.0078748857377578e-05,0.10219657747155292,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,0.9429906105164891,0.956577931,1,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05,1.0078748857377578e-05
Food & Culinary Arts,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Game Design,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gaming,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gardening,0.1541028703790274,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,0.12725932035710408,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,0.9611215639777322,1,0.9958671509164062,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05,1.0182627273335147e-05
Geography,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Graphic Design,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Healthcare,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,0.919781037,0.934573355,1,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,0.26442290821675357,0.26943168879669854,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05,1.0000192846307698e-05
Hiking,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
History,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
History & Culture,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Interpersonal Skills,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Knitting,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Law,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1,0.046966516709842296,0.030945420897988015,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,1.0010996442635239e-05,0.9928202451163743
Leadership,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Linguistics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Literature,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Machine Learning,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marketing Expertise,0.037319745165687215,0.9991238146636738,0.03867238,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,0.028392758081776572,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05,1.000292103806991e-05
Mathematics,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,0.018597637125650324,1.0288669746755482e-05,1.0288669746755482e-05,0.027086555504624348,0.027113172189992256,1,0.9509198569560229,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,0.074959162,1.0288669746755482e-05,1.0288669746755482e-05,0.033574342454772796,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05,1.0288669746755482e-05
Media Studies,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Medicine,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,0.9032045743331759,1,0.8998405785538467,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,0.23630123649278906,0.2471410197096441,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05,1.0499936406172438e-05
Mobile App Development,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Music,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Music Composition,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Negotiation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Network Administration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nursing,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1,0.9617168424786597,0.8890382481963811,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,0.27232682637972766,0.25095011746099294,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05,1.0406666100729729e-05
On-site Industrial Work,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Origami,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Painting,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pharmacology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Philosophy,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Photography,0.27937295504309745,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1,0.9359076992617885,0.9676922932361798,0.8933041068383442,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05,0.2753236522780613,1.0118639259426876e-05,1.0118639259426876e-05,1.0118639259426876e-05
Physical Education,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Physics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Physiology,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,0.16954175582896513,1.0096847233576408e-05,1.0096847233576408e-05,0.11057702594837668,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1,0.9121311705181517,0.9538997128294994,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05,1.0096847233576408e-05
Policy Analysis,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1,0.020820562,0.048478632,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,1.0028524167847281e-05,0.9939294821159287
Political Science,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Politics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pottery,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Problem-Solving,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Psychology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Public Health,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,0.9156285036630106,0.9957130544609664,1,0.017647236207864125,0.021674370856961247,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,0.2998628643739379,0.20659498364322804,1.0044295032726954e-05,1.0044295032726954e-05,1.0044295032726954e-05,0.9956502110269475
Public Speaking,1,0.9785709740590821,0.9659659769638445,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,0.02413288,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,1.0441961596167836e-05,0.027176458163474047,1.0441961596167836e-05,1.0441961596167836e-05,0.22237727695191814,1.0441961596167836e-05,1.0441961596167836e-05
Python,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Reading,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Remote/Work from Home,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Research Lab,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Resilience,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Robotics,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SEO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Science & Research,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sculpting,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Self-Motivation,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Media Management,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Social Work,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sociology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
